Processing alexnet with min_acceptance = 0.9
==========================================================================================
n_gen  |  n_eval  | n_nds  |     cv_min    |     cv_avg    |      eps      |   indicator  
==========================================================================================
     1 |      100 |     22 |  0.000000E+00 |  0.0322579215 |             - |             -
     2 |      180 |     36 |  0.000000E+00 |  0.000000E+00 |  0.0122962483 |             f
     3 |      260 |     45 |  0.000000E+00 |  0.000000E+00 |  0.0052103718 |             f
     4 |      340 |     55 |  0.000000E+00 |  0.000000E+00 |  0.0057901727 |             f
     5 |      420 |     68 |  0.000000E+00 |  0.000000E+00 |  0.0032762437 |             f
     6 |      500 |     87 |  0.000000E+00 |  0.000000E+00 |  0.0038238090 |             f
     7 |      580 |     74 |  0.000000E+00 |  0.000000E+00 |  0.0084340335 |         ideal
     8 |      660 |     85 |  0.000000E+00 |  0.000000E+00 |  0.0100104720 |         nadir
     9 |      740 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015401466 |             f
    10 |      820 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0031774406 |             f
    11 |      900 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0014657458 |             f
    12 |      980 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0028185724 |             f
    13 |     1060 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0013581432 |             f
    14 |     1140 |     97 |  0.000000E+00 |  0.000000E+00 |  0.0032128109 |             f
    15 |     1220 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0010683317 |             f
    16 |     1300 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0019415378 |             f
    17 |     1380 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0042835148 |             f
    18 |     1460 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0743391324 |         ideal
    19 |     1540 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0010071092 |             f
    20 |     1620 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0020779173 |             f
    21 |     1700 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0028149983 |             f
    22 |     1780 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0009866784 |             f
    23 |     1860 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0022679099 |             f
    24 |     1940 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0028945179 |             f
    25 |     2020 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0004988951 |             f
    26 |     2100 |    100 |  0.000000E+00 |  0.000000E+00 |  0.0015822353 |             f
