network	datacenter	input_size	batch_size	e1_local_time	e1_process_time	e2_local_time	e2_process_time	request_local_time	request_process_time	e2_remote_time	network_time	data_size
AlexNet	ibm-sp	8	1	4.938	8.418	348.433	1390.328	32.758	9.360	12.966	19.792	7442
AlexNet	ibm-sp	8	5	11.624	32.168	1041.735	3849.993	62.349	9.848	30.101	32.248	34067
AlexNet	ibm-sp	8	10	15.898	46.829	1368.477	5083.802	96.590	10.210	55.143	41.448	67356
AlexNet	ibm-sp	48	1	4.872	8.067	351.882	1404.476	39.135	9.773	13.010	26.125	16405
AlexNet	ibm-sp	48	5	11.906	32.247	1032.712	3830.567	78.993	10.350	30.267	48.726	78878
AlexNet	ibm-sp	48	10	16.557	48.462	1368.824	5105.972	119.923	11.468	56.959	62.964	156958
MobileNet	ibm-sp	8	1	32.222	116.418	94.586	335.741	25.594	9.513	5.225	20.369	14866
MobileNet	ibm-sp	8	5	134.325	502.307	333.749	1213.537	48.483	10.455	9.333	39.150	71196
MobileNet	ibm-sp	8	10	235.620	888.212	432.640	1628.887	71.515	11.452	14.728	56.787	141600
MobileNet	ibm-sp	48	1	32.102	116.480	95.153	336.191	27.039	9.945	5.243	21.795	23829
MobileNet	ibm-sp	48	5	134.099	501.435	333.100	1211.042	53.858	11.111	9.303	44.555	115998
MobileNet	ibm-sp	48	10	236.643	890.967	431.946	1626.810	104.341	12.524	16.647	87.694	231207
AlexNet	ibm-dc	8	1	4.983	8.351	348.024	1389.361	145.893	9.281	14.153	131.740	7442
AlexNet	ibm-dc	8	5	12.212	33.246	1027.042	3843.222	288.376	9.978	32.151	256.225	34067
AlexNet	ibm-dc	8	10	24.574	55.807	1362.923	5087.989	433.992	10.289	58.619	375.373	67356
AlexNet	ibm-dc	48	1	5.825	10.207	350.718	1400.406	263.282	9.689	14.296	248.986	16405
AlexNet	ibm-dc	48	5	12.073	32.793	1043.491	3843.896	408.319	10.368	32.216	376.102	78878
AlexNet	ibm-dc	48	10	20.451	51.646	1354.487	5047.844	562.956	11.740	58.400	504.556	156962
MobileNet	ibm-dc	8	1	31.874	115.613	93.752	332.544	139.870	9.468	6.833	133.036	14866
MobileNet	ibm-dc	8	5	135.349	506.264	333.817	1212.946	263.350	10.532	11.405	251.945	71197.08
MobileNet	ibm-dc	8	10	238.164	894.473	432.476	1628.178	390.774	11.919	16.946	373.828	141596
MobileNet	ibm-dc	48	1	31.960	116.697	94.500	333.924	142.126	9.683	6.879	135.247	23829
MobileNet	ibm-dc	48	5	134.263	501.679	334.930	1215.555	266.481	11.181	11.487	254.995	115998
MobileNet	ibm-dc	48	10	235.463	885.058	432.515	1629.834	393.046	13.420	17.154	375.892	231207
