network	datacenter	input_size	batch_size	where	e1_local_time	e1_process_time	e2_local_time	e2_process_time	request_local_time	request_process_time	e2_remote_time	network_latency	data_size
AlexNet	ibm-sp	8	1	local	4,938170909881592	8,418261339999233	348,4328007698059	1390,32776051	32,758498191833496	9,360491060000058	12,966461181640625	19,79203701019287	7442,0
AlexNet	ibm-sp	8	1	remote	4,938170909881592	8,418261339999233	348,4328007698059	1390,32776051	32,758498191833496	9,360491060000058	12,966461181640625	19,79203701019287	7442,0
AlexNet	ibm-sp	8	5	local	11,624476909637451	32,1676421900025	1041,7352366447449	3849,992812639997	62,34872579574585	9,848272369997737	30,101189613342285	32,247536182403564	34067,0
AlexNet	ibm-sp	8	5	remote	11,624476909637451	32,1676421900025	1041,7352366447449	3849,992812639997	62,34872579574585	9,848272369997737	30,101189613342285	32,247536182403564	34067,0
AlexNet	ibm-sp	8	10	local	15,898022651672363	46,82876254000014	1368,4773111343384	5083,802376949996	96,59041404724121	10,209590190000881	55,142505168914795	41,447908878326416	67356,0
AlexNet	ibm-sp	8	10	remote	15,898022651672363	46,82876254000014	1368,4773111343384	5083,802376949996	96,59041404724121	10,209590190000881	55,142505168914795	41,447908878326416	67356,0
AlexNet	ibm-sp	48	1	local	4,872312545776367	8,066974969998988	351,8817090988159	1404,4760691199992	39,13493633270264	9,773032839998983	13,010070323944092	26,124866008758545	16405,0
AlexNet	ibm-sp	48	1	remote	4,872312545776367	8,066974969998988	351,8817090988159	1404,4760691199992	39,13493633270264	9,773032839998983	13,010070323944092	26,124866008758545	16405,0
AlexNet	ibm-sp	48	5	local	11,905889511108398	32,24698603000073	1032,7120161056519	3830,5665450200017	78,99327039718628	10,35008232999985	30,267369747161865	48,725900650024414	78878,0
AlexNet	ibm-sp	48	5	remote	11,905889511108398	32,24698603000073	1032,7120161056519	3830,5665450200017	78,99327039718628	10,35008232999985	30,267369747161865	48,725900650024414	78878,0
AlexNet	ibm-sp	48	10	local	16,556553840637207	48,46221572999746	1368,824245929718	5105,972224469996	119,92305755615234	11,467762990000347	56,95856809616089	62,964489459991455	156958,0
AlexNet	ibm-sp	48	10	remote	16,556553840637207	48,46221572999746	1368,824245929718	5105,972224469996	119,92305755615234	11,467762990000347	56,95856809616089	62,964489459991455	156958,0
MobileNet	ibm-sp	8	1	local	32,22186088562012	116,41814573000005	94,58613157272339	335,7405731400002	25,594301223754883	9,513183389999842	5,225229263305664	20,36907196044922	14866,0
MobileNet	ibm-sp	8	1	remote	32,22186088562012	116,41814573000005	94,58613157272339	335,7405731400002	25,594301223754883	9,513183389999842	5,225229263305664	20,36907196044922	14866,0
MobileNet	ibm-sp	8	5	local	134,32466506958008	502,3069950699999	333,74850511550903	1213,5371579999999	48,48282814025879	10,455169349999096	9,333150386810303	39,149677753448486	71196,0
MobileNet	ibm-sp	8	5	remote	134,32466506958008	502,3069950699999	333,74850511550903	1213,5371579999999	48,48282814025879	10,455169349999096	9,333150386810303	39,149677753448486	71196,0
MobileNet	ibm-sp	8	10	local	235,61963081359863	888,2123606700002	432,6395559310913	1628,8867368900007	71,51540994644165	11,451967709998208	14,728147983551025	56,787261962890625	141600,0
MobileNet	ibm-sp	8	10	remote	235,61963081359863	888,2123606700002	432,6395559310913	1628,8867368900007	71,51540994644165	11,451967709998208	14,728147983551025	56,787261962890625	141600,0
MobileNet	ibm-sp	48	1	local	32,102086544036865	116,47956674000015	95,15288352966309	336,19138566000004	27,038509845733643	9,945159869999857	5,243394374847412	21,79511547088623	23829,0
MobileNet	ibm-sp	48	1	remote	32,102086544036865	116,47956674000015	95,15288352966309	336,19138566000004	27,038509845733643	9,945159869999857	5,243394374847412	21,79511547088623	23829,0
MobileNet	ibm-sp	48	5	local	134,09913301467896	501,4353583599992	333,1003141403198	1211,0417657300004	53,85791540145874	11,111496890000135	9,3031644821167	44,55475091934204	115998,0
MobileNet	ibm-sp	48	5	remote	134,09913301467896	501,4353583599992	333,1003141403198	1211,0417657300004	53,85791540145874	11,111496890000135	9,3031644821167	44,55475091934204	115998,0
MobileNet	ibm-sp	48	10	local	236,64323091506958	890,9665321499998	431,9460153579712	1626,8099239599999	104,34093952178955	12,523591680000283	16,647112369537354	87,6938271522522	231207,0
MobileNet	ibm-sp	48	10	remote	236,64323091506958	890,9665321499998	431,9460153579712	1626,8099239599999	104,34093952178955	12,523591680000283	16,647112369537354	87,6938271522522	231207,0
